iso3,name,population,median_age_approx,under_20_share,age_20_64_share,age_65_plus_share,age_80_plus_share,age_100_plus_share,age_120_plus_share,age_150_plus_share
CRI,Costa Rica,2030521.634741756,52.4662097117737,0.18413694493910912,0.4418234662447685,0.37403958881612237,0.2262952167032373,0.06677775187419556,0.008024143675785888,0.00020822991048307694
CUB,Cuba,2989776.988345289,51.11047945054115,0.1892925992300644,0.4534603581995563,0.3572470425703793,0.20783663616414527,0.0535852211860146,0.004713973139120167,7.203120727413006e-05
CUW,Curaçao,59907.4150081546,49.90089631383525,0.19417060439658637,0.4640406835135075,0.3417887120899061,0.19144296501606844,0.043316071001725666,0.002804383255747551,2.561991569611598e-05
CYM,Cayman Islands,80368.77514172057,52.680834706538505,0.18333415415932242,0.4400493192410186,0.3766165265996591,0.2291359273483301,0.06889525603576596,0.008630328740387421,0.00023917523848815807
CYP,Cyprus,806782.2569612702,52.50689417267078,0.183974669506367,0.44150931533501386,0.37451601515861904,0.22679351623834304,0.06709655387985465,0.008100016571780552,0.000211122873261177
CZE,Czechia,5385764.707833545,51.300407606280345,0.18856492241456552,0.4517747625407245,0.3596603150447099,0.21049019134433494,0.055424255267469545,0.005121697560496272,8.463737661434192e-05
DEU,Germany,48259913.22768502,52.05402053143854,0.18567576647958448,0.44531639347731866,0.36900784004309684,0.2207114120735906,0.06261986513203137,0.006872697104691247,0.0001517865735230136
DJI,Djibouti,1335158.8049932343,45.7960820552426,0.2123565177193205,0.5024572343604887,0.28518624792019087,0.13520737841387198,0.016952438821378493,0.0002536673938707244,1.8694616277013603e-07
DMA,Dominica,29070.55238863321,47.5947033213649,0.20400496496482926,0.48527790198962695,0.31071713304554377,0.15962363054176207,0.026602155600889455,0.0008153898512709861,2.0621549108356446e-06
DNK,Denmark,3979219.145262196,51.94333981289218,0.18608653743345344,0.4462796061639824,0.3676338564025642,0.21917541400008378,0.06148021262975345,0.006572140609045121,0.00013889652906104978
DOM,Dominican Republic,7497305.351300303,48.540746469913074,0.19984210865069377,0.47648828840087576,0.32366960294843045,0.17257715998602036,0.03278797602404478,0.001387684155476095,6.080460361194426e-06
DZA,Algeria,44029230.814467765,50.94678904970076,0.1899144943028738,0.4549499412867866,0.35513556441033967,0.20549440080794737,0.05196588347831751,0.004369270744944028,6.176998850373198e-05
ECU,Ecuador,11711998.06934514,50.592010633531125,0.1913388513901132,0.45801825989324396,0.3506428887166429,0.20071347671561948,0.04891718718653631,0.003770462090506899,4.5876100838792956e-05
EGY,Egypt,143640546.10926756,47.972621281852355,0.202297133737534,0.4818274675804284,0.3158753986820376,0.1646671811938591,0.02884805487781761,0.0009985999516659134,3.109970144192096e-06
ERI,Eritrea,6671102.990368672,47.80723058247749,0.20303763223223323,0.48334695114864507,0.31361541661912173,0.162436556303268,0.027832673346189524,0.0009125988174735177,2.5818230064590845e-06
ESH,Western Sahara,554831.2011606614,47.74805563780716,0.2032845589727412,0.48395418776211746,0.3127612532651415,0.16155182690441752,0.027382046726576768,0.0008729596759431457,2.3712113740186705e-06
ESP,Spain,20558756.792825658,52.78939652314447,0.1829646191538376,0.4390668240539357,0.3779685567922266,0.2307341215628922,0.07023980204532172,0.00906606331138153,0.00026514424113400375
EST,Estonia,484603.03831515094,51.3897971814593,0.1882488583383713,0.45091265519712787,0.3608384864645008,0.2118663873436909,0.05650146734776585,0.005396368840395274,9.486837040144401e-05
ETH,Ethiopia,296219346.8344531,47.67253638069578,0.20366585248775285,0.48450919299192263,0.31182495452032455,0.16074843703529962,0.02713046034389269,0.0008586841999150918,2.290784368245956e-06
FIN,Finland,2840638.2619067044,51.96767723909948,0.1860176522667278,0.44600832286862324,0.3679740248646489,0.21962283431409182,0.06189791099920381,0.006700027592158746,0.00014526007912932804
