iso3,country_name,original_2026_to_2060_rate,original_source_method,original_source_year,original_oecd_2024_projected_fallback,new_2061_forward_rate,new_source,new_source_years,new_calculation_method,new_fallback_used,new_fallback_donor_count,new_fallback_donor_iso3,new_source_path,new_source_sha256,new_policy_id,rate_change_percentage_points
CYP,Cyprus,0.19459834046372806,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.200344829457622,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.5746488993893933
CZE,Czechia,0.2583132732973169,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.26408399182277903,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.5770718525462126
DEU,Germany,0.20153145249731616,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.20312556628657,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.1594113789253837
DNK,Denmark,0.21421563625027934,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.218499948975285,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.4284312725005651
EGY,Egypt,0.11229200541518618,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.11705318644479,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.47611810296038226
ESP,Spain,0.2018667437774424,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.20608575872239102,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.42190149449486125
EST,Estonia,0.23883288348834752,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.242245805393396,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.3412921905048466
FIN,Finland,0.2160788879597316,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.21834123391666999,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.22623459569383886
FRA,France,0.2183198873935455,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.220193072027382,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.1873184633836511
GBR,United Kingdom,0.18734281467337913,WDI_GFCF_SHARE_APPLIED_TO_REAL_GDP_LEVEL,2025,False,0.18883593690632602,World Bank WDI NE.GDI.FTOT.ZS,2025,latest_available_2025_then_2024_WDI_GFCF_GDP_percentage_divided_by_100,False,0,,/home/ubuntu/LOOM_Earth2026/raw/WB_WDI_NE.GDI.FTOT.ZS_1990_2026.json,bdcba23035a47cefebc486ba17e12a1d8fbc977759668100b69c86b6bf86c5bc,WDI_NATIONAL_GFCF_GDP_LATEST_2024_2025_MEDIAN_2024_FALLBACK_v1,0.14931222329468974
